timestamp,quantity,price,fee,amount,side
2019-05-16 13:32,0.02243481,9568000,107.32,-214764,0
2019-05-16 13:32,0.00406519,9568000,19.44,-38916,0
2019-05-16 13:32,0.00770000,9568000,36.83,-73711,0
2019-05-16 13:32,0.80081453,9568000,3831.09,-7666025,0
2019-05-16 13:32,0.05234680,9568000,250.42,-501105,0
2019-05-16 13:32,0.13907170,9568000,665.31,-1331304,0
2019-05-16 13:32,0.04066697,9568000,194.55,-389297,0
2019-05-16 13:34,1.06710000,9523000,5080.99,10156912,1
2019-05-16 13:36,0.44669688,9495000,2120.69,-4243508,0
2019-05-16 13:36,0.01452846,9495000,68.97,-138017,0
2019-05-16 13:36,0.00567090,9495000,26.92,-53873,0
2019-05-16 13:36,0.38464797,9495000,1826.11,-3654059,0
2019-05-16 13:37,0.00026500,9511000,1.26,-2522,0
2019-05-16 13:37,0.00493500,9511000,23.46,-46961,0
2019-05-16 13:37,0.50997233,9534000,2431.03,4859645,1
2019-05-16 13:37,0.03163233,9534000,150.79,301431,1
2019-05-16 13:37,0.08409390,9534000,400.87,801350,1
2019-05-16 13:37,0.23100144,9534000,1101.18,2201266,1
2019-05-16 13:39,0.03366260,9533000,160.45,-321066,0
2019-05-16 13:39,0.60422062,9535000,2880.62,-5764125,0
2019-05-16 13:39,0.06731678,9535000,320.93,-642187,0
2019-05-16 13:40,0.00025000,9549000,1.19,2386,1
2019-05-16 13:40,0.01123651,9549000,53.64,107243,1
2019-05-16 13:40,0.11611689,9549000,554.40,1108245,1
2019-05-16 13:40,0.12519907,9549000,597.76,1194928,1
2019-05-16 13:40,0.20000000,9549000,954.90,1908845,1
2019-05-16 13:40,0.03149544,9549000,150.37,300599,1
2019-05-16 13:40,0.13586783,9549000,648.70,1296753,1
2019-05-16 13:40,0.01060336,9549000,50.62,101200,1
2019-05-16 13:40,0.07440000,9558000,355.55,710759,1
2019-05-16 13:42,2.00000000,9492000,9492.00,-18993492,0
2019-05-16 13:42,0.01053185,9485000,49.94,99844,1
2019-05-16 13:42,0.02983539,9479000,141.40,282668,1
2019-05-16 13:42,0.00040000,9479000,1.89,3789,1
2019-05-16 13:42,0.82549953,9479000,3912.45,7820997,1
2019-05-16 13:42,0.41320975,9479000,1958.40,3914856,1
2019-05-16 13:43,0.72050000,9464000,3409.40,6815402,1
2019-05-16 13:43,0.03529397,9448000,166.72,-333625,0
2019-05-16 13:43,0.00900603,9448000,42.54,-85132,0
2019-05-16 13:44,0.04430000,9435000,208.98,417761,1
2019-05-16 13:45,0.01010000,9463000,47.78,-95624,0
2019-05-16 13:45,0.17307020,9462000,818.79,-1638409,0
2019-05-16 13:45,0.02738832,9462000,129.57,-259278,0
2019-05-16 13:45,0.00228976,9462000,10.83,-21677,0
2019-05-16 13:45,0.25516287,9465000,1207.55,-2416325,0
2019-05-16 13:45,0.00103713,9465000,4.90,-9822,0
2019-05-16 13:46,1.53090000,9462000,7242.68,-14492619,0
2019-05-16 13:47,0.16996522,9498000,807.16,1613522,1
2019-05-16 13:47,0.03000000,9498000,142.47,284797,1
2019-05-16 13:47,0.01065717,9498000,50.61,101171,1
2019-05-16 13:47,0.01257000,9498000,59.69,119330,1
2019-05-16 13:47,0.03809890,9498000,180.93,361682,1
2019-05-16 13:47,0.37856949,9498000,1797.82,3593855,1
2019-05-16 13:47,0.25942860,9498000,1232.02,2462820,1
2019-05-16 13:47,0.43681021,9498000,2074.41,4146748,1
2019-05-16 13:47,0.16102849,9498000,764.72,1528683,1
2019-05-16 13:47,0.02121515,9498000,100.75,201400,1
2019-05-16 13:47,0.48165677,9498000,2287.38,4572488,1
2019-05-16 13:50,0.25972681,9432000,1224.87,-2450969,0
2019-05-16 13:50,0.02688665,9432000,126.79,-253722,0
2019-05-16 13:50,0.01224856,9432000,57.76,-115587,0
2019-05-16 13:50,0.00330097,9432000,15.56,-31151,0
2019-05-16 13:50,0.02913701,9432000,137.41,-274958,0
2019-05-16 13:51,0.33130000,9453000,1565.88,3130213,1
2019-05-16 13:51,0.06980000,9417000,328.65,-657636,0
2019-05-16 13:52,0.04610000,9436000,217.49,-435217,0
2019-05-16 13:52,0.05788797,9450000,273.52,-547315,0
2019-05-16 13:53,1.82620000,9460000,8637.92,-17284490,0
2019-05-16 13:54,0.38490475,9508000,1829.83,3657844,1
2019-05-16 13:54,0.59733828,9501000,2837.65,5672473,1
2019-05-16 13:54,1.01775697,9501000,4834.85,9664874,1
2019-05-16 13:54,0.02109281,9518000,100.38,-200862,0
2019-05-16 13:54,0.09223866,9518000,438.96,-878367,0
2019-05-16 13:54,0.18084012,9518000,860.61,-1722097,0
2019-05-16 13:55,0.00002806,9535000,0.13,267,1
2019-05-16 13:55,0.25498021,9535000,1215.61,2430020,1
2019-05-16 13:55,0.01037012,9535000,49.43,98829,1
2019-05-16 13:55,0.02680911,9535000,127.81,255497,1
2019-05-16 13:55,0.00201250,9535000,9.59,19179,1
2019-05-16 13:57,0.34414055,9511000,1636.56,-3274758,0
2019-05-16 13:57,0.00300000,9511000,14.26,-28548,0
2019-05-16 13:57,0.04685945,9511000,222.84,-445903,0
2019-05-16 13:57,0.00030000,9521000,1.42,2854,1
2019-05-16 13:57,0.00025000,9520000,1.19,2378,1
2019-05-16 13:57,0.00030000,9520000,1.42,2854,1
2019-05-16 13:57,0.00025000,9520000,1.19,2378,1
2019-05-16 13:57,0.00943401,9520000,44.90,89766,1
2019-05-16 13:57,0.06349878,9520000,302.25,604206,1
2019-05-16 13:57,0.00960587,9520000,45.72,91402,1
2019-05-16 13:57,0.02316702,9520000,110.27,220439,1
2019-05-16 13:57,0.06447563,9523000,307.00,613694,1
2019-05-16 13:57,0.11962229,9522000,569.52,1138473,1
2019-05-16 13:57,0.05350506,9520000,254.68,509113,1
2019-05-16 13:57,0.04959702,9520000,236.08,471927,1
2019-05-16 13:58,0.00800000,9525000,38.10,-76239,0
2019-05-16 13:58,0.00800000,9524000,38.09,76153,1
2019-05-16 14:04,0.00618132,9492000,29.33,-58703,0
2019-05-16 14:04,0.00025000,9492000,1.18,-2375,0
2019-05-16 14:04,0.00025000,9492000,1.18,-2375,0
2019-05-16 14:04,0.00117401,9492000,5.57,-11150,0
2019-05-16 14:04,0.02536638,9492000,120.38,-240898,0
2019-05-16 14:04,0.03997829,9492000,189.73,-379664,0
2019-05-16 14:04,0.14906120,9488000,707.14,-1415000,0
2019-05-16 14:04,0.01205280,9488000,57.17,-114415,0
2019-05-16 14:04,0.18468600,9488000,876.15,-1753177,0
2019-05-16 14:04,0.19290000,9492000,915.50,-1831923,0
2019-05-16 14:04,0.44666038,9510000,2123.87,4245616,1
2019-05-16 14:04,0.00075000,9510000,3.56,7128,1
2019-05-16 14:05,1.83560000,9512000,8730.11,-17468958,0
2019-05-16 14:07,0.21084857,9547000,1006.48,2011964,1
2019-05-16 14:07,0.25462407,9547000,1215.44,2429680,1
2019-05-16 14:07,0.00951715,9547000,45.43,90814,1
2019-05-16 14:07,0.26289806,9547000,1254.94,2508632,1
2019-05-16 14:07,0.90000000,9526000,4286.70,8569113,1
2019-05-16 14:07,0.06092678,9526000,290.19,580098,1
2019-05-16 14:07,0.16430596,9526000,782.58,1564395,1
2019-05-16 14:07,0.01049233,9526000,49.97,99899,1
2019-05-16 14:08,0.51165503,9552000,2443.66,-4889773,0
2019-05-16 14:08,0.03491569,9552000,166.75,-333682,0
2019-05-16 14:08,0.14773259,9552000,705.57,-1411848,0
2019-05-16 14:08,0.41519669,9552000,1982.97,-3967942,0
2019-05-16 14:08,0.05433458,9562000,259.77,519287,1
2019-05-16 14:08,0.00354532,9562000,16.95,33883,1
2019-05-16 14:08,0.10365049,9562000,495.55,990610,1
2019-05-16 14:08,0.00808799,9561000,38.66,77290,1
2019-05-16 14:08,0.14178967,9561000,677.82,1354973,1
2019-05-16 14:08,0.00143860,9560000,6.87,13746,1
2019-05-16 14:08,0.04000000,9560000,191.20,382208,1
2019-05-16 14:08,0.00417707,9560000,19.96,39912,1
2019-05-16 14:08,0.87890000,9559000,4200.70,8397204,1
2019-05-16 14:10,0.24561600,9568000,1175.02,-2351229,0
2019-05-16 14:10,0.81339914,9568000,3891.30,-7786495,0
2019-05-16 14:10,0.78463078,9588000,3761.51,7519278,1
2019-05-16 14:10,0.00083593,9588000,4.00,8010,1
2019-05-16 14:10,0.27353329,9588000,1311.31,2621325,1
2019-05-16 14:13,2.00000000,9560000,9560.00,-19129560,0
2019-05-16 14:15,1.96649440,9595000,9434.25,18859079,1
2019-05-16 14:15,0.03350000,9590000,160.63,321104,1
2019-05-16 14:18,0.00440012,9549000,21.00,-42038,0
2019-05-16 14:18,0.05490000,9551000,262.17,-524612,0
2019-05-16 14:19,0.01000000,9537000,47.68,95322,1
2019-05-16 14:19,0.04930000,9537000,235.08,469939,1
2019-05-16 14:21,0.01066728,9496000,50.64,-101348,0
2019-05-16 14:21,0.00850367,9496000,40.37,-80792,0
2019-05-16 14:21,0.01660000,9498000,78.83,-157746,0
2019-05-16 14:21,0.36694388,9503000,1743.53,-3488812,0
2019-05-16 14:21,0.00162124,9503000,7.70,-15415,0
2019-05-16 14:21,0.05093488,9503000,242.01,-484277,0
2019-05-16 14:22,0.01900000,9508000,90.32,-180743,0
2019-05-16 14:25,0.12720000,9544000,606.99,1213389,1
2019-05-16 14:25,0.00600686,9544000,28.66,57300,1
2019-05-16 14:25,0.02093182,9544000,99.88,199673,1
2019-05-16 14:25,0.02093837,9544000,99.91,199735,1
2019-05-16 14:25,0.22671108,9544000,1081.86,2162648,1
2019-05-16 14:25,0.07251187,9544000,346.02,691707,1
2019-05-16 14:29,0.07300000,9544000,348.35,-697061,0
2019-05-16 14:29,0.00006669,9539000,0.31,635,1
2019-05-16 14:30,0.02333976,9520000,111.09,222083,1
2019-05-16 14:30,0.00820632,9520000,39.06,78085,1
2019-05-16 14:30,0.04140000,9519000,197.04,393889,1
2019-05-16 14:31,0.07600000,9504000,361.15,-722666,0
2019-05-16 14:31,0.92954517,9502000,4416.26,-8836955,0
2019-05-16 14:31,0.03215483,9502000,152.76,-305688,0
2019-05-16 14:32,0.00115857,9505000,5.50,11006,1
2019-05-16 14:32,0.00436700,9505000,20.75,41487,1
2019-05-16 14:33,0.00025000,9516000,1.18,2377,1
2019-05-16 14:33,0.00125000,9516000,5.94,11889,1
2019-05-16 14:33,0.00075000,9516000,3.56,7133,1
2019-05-16 14:33,0.00025000,9516000,1.18,2377,1
2019-05-16 14:33,0.01137460,9524000,54.16,108277,1
2019-05-16 14:33,0.05041800,9524000,240.09,479940,1
2019-05-16 14:33,0.11015193,9524000,524.54,1048562,1
2019-05-16 14:33,0.49323978,9523000,2348.56,4694773,1
2019-05-16 14:33,0.00444448,9523000,21.16,42303,1
2019-05-16 14:33,0.00025000,9520000,1.19,2378,1
2019-05-16 14:33,0.07619539,9520000,362.69,725017,1
2019-05-16 14:35,0.05000000,9490000,237.25,-474738,0
2019-05-16 14:35,0.00025000,9490000,1.18,-2374,0
2019-05-16 14:35,0.00025000,9490000,1.18,-2374,0
2019-05-16 14:35,0.00025000,9490000,1.18,-2374,0
2019-05-16 14:35,0.00025000,9490000,1.18,-2374,0
2019-05-16 14:35,0.00996300,9491000,47.27,-94607,0
2019-05-16 14:35,0.10763700,9491000,510.79,-1022094,0
2019-05-16 14:35,0.00025000,9490000,1.18,-2374,0
2019-05-16 14:35,0.00025000,9490000,1.18,-2374,0
2019-05-16 14:35,0.00025000,9490000,1.18,-2374,0
2019-05-16 14:35,0.02655009,9490000,125.98,-252087,0
2019-05-16 14:35,0.01057648,9490000,50.18,-100421,0
2019-05-16 14:35,0.05709200,9490000,270.90,-542074,0
2019-05-16 14:35,0.39138963,9491000,1857.33,-3716537,0
2019-05-16 14:35,0.12500000,9491000,593.18,-1186969,0
2019-05-16 14:35,0.00025000,9491000,1.18,-2374,0
2019-05-16 14:35,0.00025000,9491000,1.18,-2374,0
2019-05-16 14:35,0.00025000,9491000,1.18,-2374,0
2019-05-16 14:35,0.00025000,9491000,1.18,-2374,0
2019-05-16 14:35,0.01356615,9491000,64.37,-128821,0
2019-05-16 14:35,0.01054790,9491000,50.05,-100161,0
2019-05-16 14:35,0.01054790,9491000,50.05,-100161,0
2019-05-16 14:35,0.00904927,9491000,42.94,-85930,0
2019-05-16 14:35,0.00545630,9487000,25.88,51738,1
2019-05-16 14:35,0.05000000,9487000,237.17,474112,1
2019-05-16 14:35,0.31315824,9479000,1484.21,2966942,1
2019-05-16 14:35,0.05000000,9479000,236.97,473713,1
2019-05-16 14:35,0.05272700,9479000,249.89,499549,1
2019-05-16 14:36,0.74310188,9478000,3521.55,-7046642,0
2019-05-16 14:37,0.01124727,9493000,53.38,106716,1
2019-05-16 14:37,0.24795322,9493000,1176.90,2352643,1
2019-05-16 14:37,0.05000000,9493000,237.32,474412,1
2019-05-16 14:39,0.85239189,9514000,4054.82,8105601,1
2019-05-16 14:39,0.21840811,9514000,1038.96,2076895,1
2019-05-16 14:42,0.00181251,9516000,8.62,-17257,0
2019-05-16 14:42,0.00001359,9517000,0.06,-130,0
2019-05-16 14:42,0.02747390,9517000,130.73,-261600,0
2019-05-16 14:43,0.00380000,9516000,18.08,-36179,0
2019-05-16 14:43,0.01275269,9529000,60.76,121459,1
2019-05-16 14:43,0.02040000,9529000,97.19,194294,1
2019-05-16 14:47,0.00530000,9512000,25.20,-50439,0
2019-05-16 14:47,0.00000284,9512000,0.01,-27,0
2019-05-16 14:47,0.00499730,9512000,23.76,-47558,0
2019-05-16 14:47,0.00499730,9512000,23.76,-47558,0
2019-05-16 14:47,0.00000256,9512000,0.01,-25,0
2019-05-16 14:48,0.00207546,9528000,9.88,19765,1
2019-05-16 14:48,0.00025000,9527000,1.19,2380,1
2019-05-16 14:48,0.00025000,9527000,1.19,2380,1
2019-05-16 14:48,0.00025000,9527000,1.19,2380,1
2019-05-16 14:48,0.00025000,9527000,1.19,2380,1
2019-05-16 14:48,0.00025000,9527000,1.19,2380,1
2019-05-16 14:48,0.00025000,9527000,1.19,2380,1
2019-05-16 14:48,0.00025000,9527000,1.19,2380,1
2019-05-16 14:50,0.01140000,9536000,54.35,108656,1
2019-05-16 14:51,0.00442911,9533000,21.11,-42244,0
2019-05-16 14:52,0.00026370,9537000,1.25,-2517,0
2019-05-16 14:52,0.04264748,9539000,203.40,-407018,0
2019-05-16 14:52,0.29010000,9545000,1384.50,-2770389,0
2019-05-16 14:53,0.03250000,9550000,155.18,-310531,0
2019-05-16 14:53,0.00392821,9562000,18.78,37542,1
2019-05-16 14:53,0.05032219,9562000,240.59,480940,1
2019-05-16 14:53,0.09446261,9562000,451.62,902799,1
2019-05-16 14:53,0.03019452,9562000,144.36,288575,1
2019-05-16 14:54,0.03000000,9557000,143.35,286566,1
2019-05-16 14:54,0.00120841,9557000,5.77,11542,1
2019-05-16 14:56,0.13250000,9541000,632.09,-1264815,0
2019-05-16 14:57,0.05810000,9541000,277.16,-554610,0
2019-05-16 14:58,0.01281580,9549000,61.18,122316,1
2019-05-16 14:58,0.00643573,9548000,30.72,61417,1
2019-05-16 14:58,0.30609198,9548000,1461.28,2921104,1
2019-05-16 14:58,0.00414447,9548000,19.78,39551,1
2019-05-16 14:58,0.00521167,9548000,24.88,49736,1
2019-05-16 14:59,0.01580000,9537000,75.34,150609,1
2019-05-16 15:03,0.01670000,9500000,79.32,-158730,0
2019-05-16 15:03,0.01640000,9500000,77.90,-155878,0
2019-05-16 15:03,0.06121933,9517000,291.31,-582916,0
2019-05-16 15:03,0.00025000,9520000,1.19,-2382,0
2019-05-16 15:03,0.00030000,9521000,1.42,-2858,0
2019-05-16 15:03,0.03363067,9523000,160.13,-320425,0
2019-05-16 15:03,0.02425938,9521000,115.48,-231089,0
2019-05-16 15:03,0.15270000,9545000,728.76,1456792,1
2019-05-16 15:06,0.31123744,9529000,1482.89,-2967265,0
2019-05-16 15:06,0.41481600,9529000,1976.39,-3954758,0
2019-05-16 15:06,0.00025043,9529000,1.19,-2388,0
2019-05-16 15:06,0.00122013,9529000,5.81,-11633,0
2019-05-16 15:06,0.00247600,9529000,11.79,-23606,0
2019-05-16 15:06,0.02099164,9530000,100.02,-200151,0
2019-05-16 15:06,0.21161198,9538000,1009.17,2017345,1
2019-05-16 15:06,0.00552805,9538000,26.36,52700,1
2019-05-16 15:08,0.53390000,9567000,2553.91,5105267,1
2019-05-16 15:09,0.42370000,9555000,2024.22,-4050478,0
2019-05-16 15:09,0.00025000,9552000,1.19,-2390,0
2019-05-16 15:09,0.00025000,9552000,1.19,-2390,0
2019-05-16 15:10,0.23672430,9566000,1132.25,2263372,1
2019-05-16 15:10,0.18747570,9566000,896.69,1792495,1
2019-05-16 15:13,0.02300000,9552000,109.84,-219806,0
2019-05-16 15:13,0.07434885,9553000,355.12,-710610,0
2019-05-16 15:13,0.00267244,9553000,12.76,-25543,0
2019-05-16 15:13,0.02600000,9567000,124.37,-248867,0
2019-05-16 15:15,0.12371522,9570000,591.97,1183362,1
2019-05-16 15:15,0.00228478,9570000,10.93,21854,1
2019-05-16 15:16,0.18852886,9562000,901.35,-1803615,0
2019-05-16 15:16,0.00416406,9562000,19.90,-39837,0
2019-05-16 15:16,0.00219450,9562000,10.49,-20995,0
2019-05-16 15:16,0.00025000,9574000,1.19,2392,1
2019-05-16 15:16,0.00025000,9574000,1.19,2392,1
