book-delta-v1-0.2-5-1,book-imbalance-0.2-5-1,mid_price,timestamp
0.0,0.0,8411300.0,2018-07-22 12:00:00.007769
-2.0,-1615.5485004968900,8411800.0,2018-07-22 12:00:01.007769
-1.734137040143860,-1672.3078513518000,8411800.0,2018-07-22 12:00:02.007771
-0.7791979998851470,-1672.3078513518000,8411800.0,2018-07-22 12:00:03.007771
-1.2362587254913600,-1672.3078513518000,8411800.0,2018-07-22 12:00:04.007773
-1.5293505172854000,-1912.3676695358000,8411800.0,2018-07-22 12:00:05.007774
-1.5211492811038500,-1960.3936988078100,8411800.0,2018-07-22 12:00:06.007776
-0.6834964307460480,-1960.3936988078100,8411800.0,2018-07-22 12:00:07.007778
-0.3071147432049400,-1960.3936988078100,8411800.0,2018-07-22 12:00:08.007778
-0.13799554942940200,-1960.3936988078100,8411800.0,2018-07-22 12:00:09.007780
-3.4302024131160000,-3031.234322052450,8410200.0,2018-07-22 12:00:10.010030
-0.498689509171278,-2730.800133412700,8409400.0,2018-07-22 12:00:11.010031
0.6458056836347440,-2430.1258351188200,8409400.0,2018-07-22 12:00:12.010031
0.2901791988486140,-2430.1258351188200,8409400.0,2018-07-22 12:00:13.011759
0.1303859188270130,-2430.1258351188200,8409400.0,2018-07-22 12:00:14.011760
1.00181159937055,-1974.4384036231800,8409400.0,2018-07-22 12:00:15.011776
1.2809124691172200,-1974.4384036231800,8409400.0,2018-07-22 12:00:16.011778
-0.4585666088629880,-1974.4384036231800,8409400.0,2018-07-22 12:00:17.011798
0.7467953726995960,-1922.2699238658000,8409400.0,2018-07-22 12:00:18.011799
0.33555679122264400,-1922.2699238658000,8409400.0,2018-07-22 12:00:19.011801
0.1507753854025700,-1922.2699238658000,8409400.0,2018-07-22 12:00:20.012278
0.06774774773731140,-1922.2699238658000,8409400.0,2018-07-22 12:00:21.012279
0.030441025312081000,-1922.2699238658000,8409400.0,2018-07-22 12:00:22.012280
0.013678034370143500,-1922.2699238658000,8409400.0,2018-07-22 12:00:23.012280
0.006145937014696320,-1922.2699238658000,8409400.0,2018-07-22 12:00:24.014493
0.0027615475123431900,-1922.2699238658000,8409400.0,2018-07-22 12:00:25.014493
0.0012408432830816500,-1922.2699238658000,8409400.0,2018-07-22 12:00:26.014502
1.000059819286390,-1668.7120535597200,8409400.0,2018-07-22 12:00:27.014504
0.4493558426552090,-1668.7120535597200,8409400.0,2018-07-22 12:00:28.014505
